engine_cc,horsepower,weight_kg,fuel_type,kmpl,road_type,avg_speed_kmph,ac_on,tyre_psi,traffic_level,payload_kg
351.0,158.0,1976.439,Petrol,5.5249999999999995,city,39.087632236396914,1,32.6,low,107.31881171040494
318.0,150.0,1919.361,Petrol,5.95,city,35.91817068113417,1,35.0,high,154.82578152445168
440.0,215.0,2144.955,Petrol,5.5249999999999995,city,35.99633064706474,1,33.0,low,89.55416088863493
455.0,225.0,2242.803,Petrol,5.1,highway,94.2801764152679,0,33.7,high,122.84978370722949
360.0,175.0,1730.913,Petrol,5.5249999999999995,city,33.90585609265511,1,31.2,low,92.86509638689161
225.0,105.0,1413.813,Petrol,7.6499999999999995,city,33.759396710028696,1,34.2,medium,133.30039643587415
250.0,100.0,1484.934,Petrol,6.8,city,29.304381456926745,0,34.0,low,76.74901191265221
232.0,100.0,1334.085,Petrol,7.6499999999999995,hilly,55.17447504440639,0,32.0,low,137.60515560283318
250.0,88.0,1368.5130000000001,Petrol,7.6499999999999995,hilly,55.16950437131226,1,35.1,medium,59.711820898935244
198.0,95.0,1315.512,Petrol,9.775,highway,87.0666633789353,0,35.4,low,97.46337276198992
97.0,46.0,883.35,Petrol,11.049999999999999,city,37.45122440606636,0,32.1,high,126.24975187803382
400.0,150.0,2263.641,Petrol,4.675,hilly,56.957297549699646,0,34.6,medium,139.40082867558655
400.0,167.0,2222.418,Petrol,5.1,highway,82.35973411392118,1,31.2,high,157.00730204852104
360.0,170.0,2108.262,Petrol,5.5249999999999995,highway,86.75014991754581,1,32.8,medium,83.74149499801901
350.0,180.0,2038.047,Petrol,5.1,city,35.44960090251012,1,31.9,high,80.43432320297177
232.0,100.0,1263.4170000000001,Petrol,7.6499999999999995,city,35.92339324636095,0,30.2,high,133.29340269424517
97.0,88.0,1032.387,Petrol,8.5,city,29.345671443641994,0,32.6,low,136.38951448656297
140.0,72.0,1087.653,Petrol,8.924999999999999,hilly,53.30435466367364,1,28.9,high,79.75102497590319
108.0,94.0,1077.6870000000001,Petrol,9.35,city,35.40568963738123,1,31.7,high,122.77176004834098
70.0,90.0,962.172,Petrol,7.6499999999999995,city,37.96912887874798,0,33.9,low,104.8109758443992
122.0,85.0,1046.43,Petrol,8.075,city,41.072992356831186,1,34.5,medium,158.18315753836146
155.0,107.0,1119.816,Petrol,8.924999999999999,highway,96.59559018174659,0,33.8,medium,124.57770547903328
98.0,90.0,1026.045,Petrol,11.049999999999999,city,38.15229593165081,0,31.4,medium,210.1772940438318
350.0,145.0,1849.146,Petrol,6.375,highway,80.57432253050098,0,33.9,medium,129.09112080809857
400.0,230.0,1937.934,Petrol,6.8,highway,92.95562912771636,0,32.6,medium,140.11854635181902
68.0,49.0,845.751,Petrol,12.325,highway,110.35649604636104,0,33.5,medium,137.16842086808853
116.0,75.0,977.5740000000001,Petrol,10.2,city,39.67673131603922,0,30.8,medium,80.98212029424194
114.0,91.0,1169.646,Petrol,8.5,highway,81.73690466743234,0,33.4,medium,7.447288431662116
121.0,112.0,1299.204,Petrol,8.075,highway,94.88674191841983,0,32.6,medium,101.5535339973791
318.0,150.0,1539.747,Petrol,6.375,highway,88.31987772154693,1,31.8,low,165.34068183408135
121.0,110.0,1204.98,Petrol,10.2,city,34.222887479437716,1,32.9,medium,99.26257738531015
156.0,122.0,1271.5710000000001,Petrol,8.5,city,29.839573247118153,1,36.0,low,110.66762346888271
350.0,180.0,1659.7920000000001,Petrol,4.675,city,33.15650938888267,1,34.2,medium,151.6195165717811
198.0,95.0,1405.2060000000001,Petrol,8.5,city,39.614331819403795,0,30.6,medium,159.0568897770509
200.0,,1302.375,Petrol,8.924999999999999,city,42.43886833837566,1,35.9,medium,124.04185464195182
232.0,100.0,1314.153,Petrol,8.075,city,44.770800401345724,0,36.1,low,146.97989446940457
250.0,100.0,1511.208,Petrol,6.375,city,37.633976517643795,1,33.1,medium,142.38566065230205
79.0,67.0,883.35,Petrol,13.174999999999999,highway,95.68612400433408,0,35.2,high,104.87586345029159
122.0,80.0,1110.303,Petrol,11.049999999999999,city,37.24461870736636,1,30.5,low,157.54651266283724
71.0,65.0,831.708,Petrol,13.6,hilly,47.18243474632828,0,32.8,low,126.31463463906992
140.0,75.0,1151.526,Petrol,10.625,highway,101.24000742133703,0,31.8,medium,174.14708337711306
250.0,100.0,1712.7930000000001,Petrol,6.8,city,35.43601781735233,0,33.7,medium,144.41664255310366
258.0,110.0,1645.296,Petrol,6.8,highway,83.80001492968027,1,33.2,medium,192.03443767543195
225.0,105.0,1636.689,Petrol,7.6499999999999995,city,34.20104572762227,1,30.4,medium,79.5515336477181
302.0,140.0,1875.873,Petrol,6.8,hilly,48.87582291857636,0,37.2,high,100.08416012267938
350.0,150.0,2128.647,Petrol,5.5249999999999995,city,31.242808255660123,1,35.3,high,183.97415976019124
318.0,150.0,2019.021,Petrol,5.95,highway,79.95516118043787,0,35.4,low,99.00225410556898
302.0,140.0,2101.014,Petrol,5.95,city,34.68089488646744,1,34.8,medium,163.4460956701912
304.0,150.0,1928.421,Petrol,5.95,city,32.7404242958889,1,33.8,low,114.0827496799104
98.0,83.0,1005.207,Petrol,12.325,city,37.98243715387057,0,32.3,high,102.64820556663096
79.0,67.0,889.239,Petrol,11.049999999999999,hilly,47.167452687622294,0,35.4,medium,120.02396918329727
97.0,78.0,1041.9,Petrol,11.049999999999999,highway,64.25487419463782,1,33.5,medium,138.59569528507947
76.0,52.0,746.9970000000001,Petrol,13.174999999999999,city,37.44946867242515,1,34.4,medium,65.25672162469164
83.0,61.0,907.359,Petrol,13.6,city,35.58796681955823,1,30.5,high,109.67100323543006
90.0,75.0,962.625,Petrol,11.9,city,16.03871106352114,0,32.1,high,159.2652568629794
90.0,75.0,954.924,Petrol,10.2,highway,93.12947780169347,0,34.3,low,184.26667004732468
116.0,75.0,1017.438,Petrol,11.049999999999999,city,38.53672352195518,1,32.8,medium,85.8239772513235
120.0,97.0,1127.517,Petrol,10.2,city,30.80591546644665,1,29.5,high,106.24687875761131
108.0,93.0,1083.123,Petrol,11.049999999999999,highway,83.97379235402957,1,32.7,low,73.04033546258907
79.0,67.0,906.0,Petrol,13.174999999999999,highway,92.76317167656117,1,28.3,low,165.8276086228022
225.0,95.0,1478.592,Petrol,8.075,city,33.67253422208307,0,36.9,low,83.57479070828205
250.0,105.0,1566.9270000000001,Petrol,7.6499999999999995,highway,94.80212817398235,1,34.0,medium,166.19908373212286
250.0,72.0,1554.6960000000001,Petrol,6.375,city,35.04795550591554,0,33.0,medium,61.30994808444332
250.0,72.0,1430.574,Petrol,6.375,highway,106.5372326940077,1,33.0,medium,179.88472527410306
400.0,170.0,2114.6040000000003,Petrol,6.8,city,38.13501613541313,1,30.2,low,104.77960949951408
350.0,145.0,2011.3200000000002,Petrol,6.375,highway,92.22847621229846,1,37.7,medium,143.5408728079221
318.0,150.0,2037.594,Petrol,6.8,highway,101.0502329602505,1,32.4,high,108.7423664556876
351.0,148.0,2109.621,Petrol,5.95,highway,99.38634305674621,0,33.0,high,73.41325160623475
231.0,110.0,1769.871,Petrol,7.225,city,22.40848718593009,1,32.6,medium,135.0572815127924
250.0,105.0,1765.3410000000001,Petrol,6.8,hilly,48.85102341842945,1,34.8,medium,64.86815502155967
258.0,110.0,1689.69,Petrol,6.375,city,27.502011331637814,0,33.9,low,88.48919116309824
225.0,95.0,1714.605,Petrol,7.6499999999999995,city,33.062575275391694,0,33.4,medium,175.9055908023932
231.0,110.0,1376.6670000000001,Petrol,8.924999999999999,highway,95.26827445341223,0,33.8,medium,136.77613550908973
262.0,110.0,1459.113,Petrol,8.5,city,37.26689907177299,0,32.4,low,90.76824864561573
302.0,129.0,1435.557,Petrol,5.5249999999999995,highway,97.58108471505591,0,35.7,low,85.74642739306665
97.0,75.0,983.4630000000001,Petrol,12.325,highway,93.82571731179208,1,36.7,medium,178.7477544428706
140.0,83.0,1195.467,Petrol,9.775,city,36.732692646381,0,33.5,medium,141.52890621378026
232.0,100.0,1320.0420000000001,Petrol,8.5,hilly,48.47485640247867,1,28.4,low,136.58910623430586
140.0,78.0,1174.176,Petrol,9.775,city,40.37539846122267,0,36.7,high,160.62740375103093
134.0,96.0,1224.006,Petrol,10.2,highway,91.82292025830398,1,33.5,medium,104.13782608266727
90.0,71.0,1007.019,Petrol,10.625,city,34.0227254516461,0,36.3,low,157.57254728989946
119.0,97.0,1152.885,Petrol,10.2,hilly,48.5948019346423,0,33.8,low,111.79524349510798
171.0,97.0,1351.752,Petrol,7.6499999999999995,city,32.198579834801876,0,33.4,low,114.44980719665814
90.0,70.0,877.461,Petrol,12.325,city,36.20321084275485,1,32.5,medium,133.21288721492607
232.0,90.0,1454.583,Petrol,8.075,city,29.320328684155605,1,31.6,medium,10.864786001452984
115.0,95.0,1220.382,Petrol,9.775,hilly,50.61070140817417,1,33.3,medium,133.21635620690876
120.0,88.0,1339.521,Petrol,9.775,highway,90.09905561607935,1,35.4,low,206.7798336484113
121.0,98.0,1334.085,Petrol,9.35,highway,73.6764307558158,0,32.2,medium,201.57257792849526
121.0,115.0,1209.963,Petrol,10.625,highway,71.68754103600484,1,33.1,low,306.9211698358077
91.0,53.0,813.135,Petrol,14.025,highway,87.08930479339345,0,37.2,medium,135.15990802999556
107.0,86.0,1116.192,Petrol,11.9,highway,72.28701988197537,1,31.6,low,162.76320743459786
116.0,81.0,1005.6600000000001,Petrol,10.625,city,17.237467357830866,1,33.0,medium,86.75232916368734
140.0,92.0,1165.116,Petrol,10.625,highway,84.41089925373815,1,29.8,medium,116.64913100559842
98.0,79.0,1021.515,Petrol,11.049999999999999,highway,98.9872207368005,1,35.2,low,80.8246114665249
101.0,83.0,997.5060000000001,Petrol,11.475,city,33.508166507284216,0,34.3,low,145.65207942189716
305.0,140.0,1909.395,Petrol,7.4375,city,37.61896745517376,1,31.2,low,89.13548739976254
318.0,150.0,1898.0700000000002,Petrol,6.8,highway,103.51546182110611,0,31.3,medium,212.037554234185
304.0,120.0,1794.786,Petrol,6.5874999999999995,city,35.91970323538513,1,35.0,medium,183.38624252754525
351.0,152.0,1909.395,Petrol,6.1625,hilly,54.4270764681594,0,34.4,medium,81.0877139351905
225.0,100.0,1464.549,Petrol,9.35,city,31.770562969255046,0,33.1,low,166.220606550838
250.0,105.0,1518.909,Petrol,9.35,city,37.857404666156086,1,35.1,medium,156.88538640997004
200.0,81.0,1364.4360000000001,Petrol,10.2,highway,93.22292229183243,0,34.9,low,157.88156155995824
232.0,90.0,1397.505,Petrol,9.5625,city,36.923220031575454,0,32.8,low,137.65413798011824
85.0,52.0,921.855,Petrol,12.325,city,35.51980361763286,1,35.1,medium,177.56859494339534
98.0,60.0,980.292,Petrol,10.4125,highway,94.3616063134433,1,35.3,low,162.9644491037687
90.0,70.0,877.461,Petrol,12.325,highway,82.6960314142845,0,33.2,high,87.29805257633569
91.0,53.0,813.135,Petrol,14.025,city,32.44473411506972,1,32.3,low,11.038013380201022
225.0,100.0,1653.903,Petrol,8.5,city,37.80343494567541,0,35.0,medium,91.96620813454373
250.0,78.0,1619.0220000000002,Petrol,7.6499999999999995,highway,102.74338170054868,1,33.3,high,90.61889546339832
250.0,110.0,1651.185,Petrol,7.8625,hilly,36.07293085987049,1,31.8,medium,80.95891070261966
258.0,95.0,1446.429,Petrol,7.4375,highway,93.76915833137774,1,30.0,medium,111.33005066703731
97.0,71.0,826.725,Petrol,12.5375,city,39.849794167125296,1,29.9,medium,88.66370961199382
85.0,70.0,901.47,Petrol,13.6,city,28.718884379948417,1,34.1,medium,104.2310630964452
97.0,75.0,976.215,Petrol,11.9,city,30.704611730931646,1,34.2,medium,95.1267046854257
140.0,72.0,1161.945,Petrol,11.2625,city,28.137626858472608,1,30.7,medium,163.66989018729794
130.0,102.0,1426.95,Petrol,8.5,highway,72.57022943743664,0,33.1,low,38.20939720899685
318.0,150.0,1784.8200000000002,Petrol,5.5249999999999995,city,42.62655104325084,1,31.5,low,127.52117962369621
120.0,88.0,1481.31,Petrol,8.075,highway,80.68951080686338,1,30.6,low,208.83959214984162
156.0,108.0,1327.29,Petrol,8.075,highway,93.46279253140938,1,34.5,medium,136.29906926306134
168.0,120.0,1730.46,Petrol,7.0125,highway,85.69477013315324,1,32.4,low,75.23632193914631
350.0,180.0,1984.14,Petrol,7.0125,city,31.270120662977018,1,31.7,low,92.34089858516467
350.0,145.0,1836.915,Petrol,5.5249999999999995,highway,86.86037098255497,1,36.8,medium,109.71528743485962
302.0,130.0,1753.1100000000001,Petrol,5.5249999999999995,highway,86.70183909773374,1,32.7,medium,127.04116739787753
318.0,150.0,1701.015,Petrol,5.5249999999999995,highway,99.08287745140396,1,29.1,low,113.11401489433352
98.0,68.0,926.385,Petrol,13.3875,city,31.09764341852117,0,34.2,low,144.40389182237703
111.0,80.0,976.215,Petrol,12.75,city,26.68982492720493,0,34.6,low,181.47325843491754
79.0,58.0,826.725,Petrol,15.299999999999999,hilly,44.40290139132284,0,35.1,low,99.89431805961486
122.0,96.0,1041.9,Petrol,10.8375,city,31.41011368688027,0,31.2,low,111.48234209660578
85.0,70.0,881.085,Petrol,14.237499999999999,city,31.37508452479802,1,33.6,medium,116.29650071011828
305.0,145.0,1757.64,Petrol,7.4375,city,26.999711850449174,0,32.8,medium,191.67830209100924
260.0,110.0,1839.18,Petrol,7.225,highway,87.21034577933055,0,33.6,high,151.83129664403629
318.0,145.0,1875.42,Petrol,6.5874999999999995,hilly,72.81521108687096,1,31.9,low,125.38787772922116
302.0,130.0,1945.635,Petrol,6.375,city,27.290418053040973,0,31.1,high,146.02188603250232
250.0,110.0,1594.56,Petrol,7.4375,hilly,41.177810638476885,1,34.0,medium,135.31718814256922
231.0,105.0,1551.525,Petrol,8.7125,city,38.81116366045132,0,33.3,medium,142.5585211841234
225.0,100.0,1644.39,Petrol,8.075,highway,99.06254539456701,1,32.7,medium,155.59785542599295
250.0,98.0,1596.825,Petrol,7.8625,highway,93.91603664200598,0,33.8,low,117.85738805757147
400.0,180.0,1911.66,Petrol,6.8,city,31.34549837921793,0,32.0,medium,201.24961582496104
350.0,170.0,1886.7450000000001,Petrol,6.5874999999999995,city,28.14611525965944,1,34.7,high,99.48687405726793
400.0,190.0,1959.2250000000001,Petrol,6.5874999999999995,city,31.73842491367565,0,33.8,medium,124.0715722210617
351.0,149.0,1963.755,Petrol,6.8,hilly,49.487810629412245,0,34.2,high,117.18567004886626
97.0,78.0,878.82,Petrol,12.325,highway,91.90701333433765,1,33.4,medium,113.22569956850398
151.0,88.0,1241.22,Petrol,10.4125,hilly,57.19095635750051,1,32.3,medium,78.82551984750701
97.0,75.0,1026.045,Petrol,11.049999999999999,highway,95.25518137921514,1,33.6,low,81.47308099796805
140.0,89.0,1248.015,Petrol,10.8375,city,43.129662724632766,1,33.6,low,171.68715174156796
98.0,63.0,929.1030000000001,Petrol,12.9625,highway,77.24001724898542,1,32.8,high,148.92173326470083
98.0,83.0,939.975,Petrol,14.237499999999999,city,32.21816705249058,1,32.4,low,97.93275410399738
97.0,67.0,899.205,Petrol,12.75,city,30.67197160956132,1,33.8,medium,109.91412442332943
97.0,78.0,992.07,Petrol,12.9625,highway,79.63111164257062,1,33.9,low,114.55277294540444
146.0,97.0,1275.195,Petrol,9.35,highway,82.97256460922978,1,36.5,low,155.98393884897843
121.0,110.0,1177.8,Petrol,9.1375,city,25.984480720641542,0,31.4,high,166.32648416397308
80.0,110.0,1232.16,Petrol,9.1375,highway,92.89266433372937,0,35.8,medium,101.13972757034759
90.0,48.0,899.205,Petrol,18.3175,highway,88.7424669361493,0,37.5,low,106.94306363925566
98.0,66.0,815.4,Petrol,15.3425,highway,74.26635950831152,1,35.8,low,99.07533133430528
78.0,52.0,899.205,Petrol,13.939999999999998,highway,95.50145700300304,1,37.6,high,131.10942778493484
85.0,70.0,937.71,Petrol,16.744999999999997,city,34.15869986262838,1,30.6,low,176.8419138938719
91.0,60.0,815.4,Petrol,15.3425,city,31.190841299396855,0,33.8,medium,196.66232439128765
260.0,110.0,1524.345,Petrol,8.4575,city,39.043242730349206,0,33.4,medium,48.41883153412928
318.0,140.0,1691.9550000000002,Petrol,8.245,highway,95.26605849333222,0,32.8,high,103.9675113413048
302.0,139.0,1617.21,Petrol,8.584999999999999,highway,108.60062897920471,1,32.4,medium,123.94842976716943
231.0,105.0,1601.355,Petrol,8.16,city,35.54988119192743,1,32.9,medium,106.83160272320808
200.0,95.0,1429.2150000000001,Petrol,8.7125,city,37.946255542353356,0,32.6,high,96.56938732421345
200.0,85.0,1343.145,Petrol,8.584999999999999,city,33.205325627206896,1,32.9,low,150.6591587563027
140.0,88.0,1232.16,Petrol,10.6675,highway,88.21023495857345,0,30.5,high,110.55457000546437
225.0,100.0,1553.79,Petrol,8.7125,highway,92.05345973094012,0,32.7,low,76.82993374242153
232.0,90.0,1454.13,Petrol,8.245,city,34.48722934203238,1,35.1,low,116.18991261038313
231.0,105.0,1531.14,Petrol,8.755,city,37.70288908888102,1,35.1,medium,85.89505538902168
200.0,85.0,1390.71,Petrol,8.84,highway,90.18819407020005,1,34.6,high,206.93150615403016
225.0,110.0,1639.8600000000001,Petrol,7.905,city,32.50191453980959,1,32.0,medium,44.39836776170375
258.0,120.0,1544.73,Petrol,7.692500000000001,highway,90.83253472730632,1,30.4,medium,176.3605087524365
305.0,145.0,1551.525,Petrol,8.16,city,38.66116923430817,1,30.4,medium,191.45428977516764
231.0,165.0,1560.585,Petrol,7.522499999999999,city,37.985328560252896,0,29.5,low,144.88152072698702
302.0,139.0,1451.865,Petrol,7.692500000000001,hilly,48.786640548161195,0,29.6,low,23.49480460353398
318.0,140.0,1848.24,Petrol,7.4375,city,36.352136755599204,1,33.6,high,108.75696729760456
98.0,68.0,976.215,Petrol,12.75,city,39.802112867416426,1,35.3,low,151.7973353004004
134.0,95.0,1159.68,Petrol,11.6875,city,29.53012250314926,1,30.8,low,158.91339318340536
119.0,97.0,1041.9,Petrol,11.559999999999999,city,35.00696397117988,0,29.8,low,129.21116624427168
105.0,75.0,1010.19,Petrol,13.132499999999999,city,20.442995974418416,1,31.2,medium,147.1420153097895
134.0,95.0,1139.295,Petrol,8.967500000000001,city,38.70117640264627,0,29.9,high,185.9360791949643
156.0,105.0,1243.4850000000001,Petrol,9.86,city,31.08693446034356,0,32.5,high,140.55922837067905
